date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2019-04-26,51.2249985,51.25,50.5299988,51.0750008,49.658783,74596400.0,74596400.0,-1.56622,-3.058,50.47959,"April 26, 19",-0.03058
2019-04-29,51.0999985,51.4925003,50.9650002,51.1525002,49.7341309,88818800.0,88818800.0,-1.36587,-2.673,50.73054,"April 29, 19",-0.02673
2019-04-30,50.7649994,50.8499985,49.7775002,50.1674995,48.7764473,186139600.0,186139600.0,-1.98855,-3.917,49.80132,"April 30, 19",-0.03917
2019-05-01,52.4700012,53.8274994,52.3074989,52.6300011,51.1706696,259309200.0,259309200.0,-1.29933,-2.476,52.43522,"May 01, 19",-0.02476
2019-05-02,52.4599991,53.1624985,52.0325012,52.2874985,50.8376617,127985200.0,127985200.0,-1.62234,-3.093,52.01089,"May 02, 19",-0.03093
2019-05-03,52.7224998,52.9599991,52.5574989,52.9375,51.469635,83569600.00000001,83569600.00000001,-1.25286,-2.376,52.32904,"May 03, 19",-0.02376
2019-05-06,51.0724983,52.2099991,50.875,52.1199989,50.6748123,129772400.0,129772400.0,-0.39769,-0.779,51.25327,"May 06, 19",-0.00779
2019-05-07,51.4700012,51.8549995,50.2075005,50.7150002,49.3087692,155054800.0,155054800.0,-2.16123,-4.199,50.45709,"May 07, 19",-0.04199
2019-05-08,50.4749985,51.3349991,50.4375,50.7249985,49.3184776,105358000.0,105358000.0,-1.15652,-2.291,50.36366,"May 08, 19",-0.02291
2019-05-09,50.0999985,50.4199982,49.1650009,50.1800003,48.7885971,139634400.0,139634400.0,-1.3114,-2.618,49.45787,"May 09, 19",-0.02618
2019-05-10,49.3549995,49.7125015,48.1925011,49.2949982,48.1127052,164834800.0,164834800.0,-1.24229,-2.517,48.67257,"May 10, 19",-0.02517
2019-05-13,46.9275017,47.3699989,45.7125015,46.4300003,45.3164215,229722400.0,229722400.0,-1.61108,-3.433,46.13297,"May 13, 19",-0.03433
2019-05-14,46.6025009,47.4249992,46.3525009,47.1650009,46.0337982,146118800.0,146118800.0,-0.5687,-1.22,46.60377,"May 14, 19",-0.0122
2019-05-15,46.5675011,47.9375,46.5050011,47.7299995,46.585247,106178800.0,106178800.0,0.01775,0.038,47.00925,"May 15, 19",0.00038
2019-05-16,47.4775009,48.1175003,47.2099991,47.5200005,46.3802834,132125600.0,132125600.0,-1.09722,-2.311,47.23593,"May 16, 19",-0.02311
2019-05-17,46.7324982,47.7249985,46.6899986,47.25,46.1167564,131516400.0,131516400.0,-0.6157400000000001,-1.318,46.84392,"May 17, 19",-0.01318
2019-05-20,45.8800011,46.0875015,45.0699997,45.7724991,44.6746941,154449200.0,154449200.0,-1.20531,-2.627,45.2774,"May 20, 19",-0.02627
2019-05-21,46.3050003,47.0,46.1749992,46.6500015,45.5311508,113459200.0,113459200.0,-0.77385,-1.671,46.23538,"May 21, 19",-0.01671
2019-05-22,46.1650009,46.4275017,45.6375008,45.6949997,44.5990486,118994400.0,118994400.0,-1.56595,-3.392,45.55468,"May 22, 19",-0.03392
2019-05-23,44.9500008,45.1349983,44.4524994,44.9150009,43.8377571,146118800.0,146118800.0,-1.11224,-2.474,44.47508,"May 23, 19",-0.02474
2019-05-24,45.0499992,45.5349998,44.6549988,44.7425003,43.6693916,94858800.0,94858800.0,-1.38061,-3.065,44.6198,"May 24, 19",-0.03065
2019-05-28,44.7299995,45.1474991,44.4775009,44.5574989,43.4888306,111792800.0,111792800.0,-1.24117,-2.775,44.37128,"May 28, 19",-0.02775
2019-05-29,44.1049995,44.8375015,44.0,44.3450012,43.2814293,113924800.0,113924800.0,-0.82357,-1.867,44.03964,"May 29, 19",-0.01867
2019-05-30,44.4874992,44.8074989,44.1674995,44.5750008,43.5059166,84873600.0,84873600.0,-0.98158,-2.206,44.16031,"May 30, 19",-0.02206
2019-05-31,44.0574989,44.4975014,43.7475014,43.7675018,42.7177849,108174400.0,108174400.0,-1.33971,-3.041,43.65426,"May 31, 19",-0.03041
2019-06-03,43.9000015,44.4799995,42.5675011,43.3250008,42.2858925,161584400.0,161584400.0,-1.6141100000000002,-3.677,43.11113,"June 03, 19",-0.03677
2019-06-04,43.8600006,44.9575005,43.6300011,44.9099998,43.8328781,123872000.0,123872000.0,-0.02712,-0.062,44.14013,"June 04, 19",-0.00062
2019-06-05,46.0699997,46.2475014,45.2849998,45.6349983,44.540493,119093600.0,119093600.0,-1.52951,-3.32,45.35766,"June 05, 19",-0.0332
2019-06-06,45.7700005,46.3675003,45.5374985,46.3050003,45.1944275,90105200.0,90105200.0,-0.57557,-1.258,45.69981,"June 06, 19",-0.01258
2019-06-07,46.6274986,47.9799995,46.4425011,47.5374985,46.3973618,122737600.0,122737600.0,-0.23014,-0.494,46.93995,"June 07, 19",-0.00494
2019-06-10,47.9524994,48.8424988,47.9049988,48.1450005,46.9902916,104883600.0,104883600.0,-0.96221,-2.007,47.9126,"June 10, 19",-0.02007
2019-06-11,48.7150002,49.0,48.4000015,48.7024994,47.5344162,107731600.0,107731600.0,-1.18058,-2.423,48.31147,"June 11, 19",-0.02423
2019-06-12,48.4874992,48.9925003,48.3474998,48.5475006,47.3831444,73012800.0,73012800.0,-1.10435,-2.278,48.24105,"June 12, 19",-0.02278
2019-06-13,48.6749992,49.1974983,48.4000015,48.5374985,47.3733711,86698400.0,86698400.0,-1.30163,-2.674,48.32362,"June 13, 19",-0.02674
2019-06-14,47.8875008,48.3974991,47.5750008,48.1850014,47.0293312,75046000.0,75046000.0,-0.8581700000000001,-1.792,47.66728,"June 14, 19",-0.01792
2019-06-17,48.2249985,48.7400017,48.0424995,48.4724998,47.3099289,58676400.0,58676400.0,-0.91507,-1.898,48.03081,"June 17, 19",-0.01898
2019-06-18,49.0125008,50.0724983,48.8025017,49.6124992,48.4225922,106204000.0,106204000.0,-0.58991,-1.204,49.0992,"June 18, 19",-0.01204
2019-06-19,49.9199982,49.9700012,49.3274994,49.4674988,48.2810707,84496800.00000001,84496800.00000001,-1.63893,-3.283,49.19286,"June 19, 19",-0.03283
2019-06-20,50.0924988,50.1525002,49.5074997,49.8650017,48.6690445,86056000.00000001,86056000.00000001,-1.42345,-2.842,49.44301,"June 20, 19",-0.02842
2019-06-21,49.7000008,50.2125015,49.5374985,49.6949997,48.5031166,191202400.0,191202400.0,-1.19688,-2.408,49.41771,"June 21, 19",-0.02408
2019-06-24,49.6349983,50.0400009,49.5424995,49.6450005,48.454319,72881600.0,72881600.0,-1.18068,-2.379,49.34561,"June 24, 19",-0.02379
2019-06-25,49.6074982,49.8149986,48.8224983,48.8925018,47.7198715,84281200.0,84281200.0,-1.88763,-3.805,48.78579,"June 25, 19",-0.03805
2019-06-26,49.4425011,50.2475014,49.3375015,49.9500008,48.7519989,104270000.0,104270000.0,-0.6905,-1.397,49.44567,"June 26, 19",-0.01397
2019-06-27,50.0724983,50.3925018,49.8925018,49.9350014,48.7373657,83598800.0,83598800.0,-1.33513,-2.666,49.67412,"June 27, 19",-0.02666
2019-06-28,49.6699982,49.875,49.2625008,49.4799995,48.2932701,124442400.0,124442400.0,-1.37673,-2.772,49.14359,"June 28, 19",-0.02772
2019-07-01,50.7924995,51.1225014,50.1624985,50.3875008,49.1790009,109012000.0,109012000.0,-1.6135000000000002,-3.177,50.15467,"July 01, 19",-0.03177
